Year,GDP(in bil. US$PPP),GDP per capita(in US$PPP),GDP (in bil. US$nominal),GDP per capita(in US$ nominal),GDP growth (real),Inflation rate(in percent),Unemployment (in percent),Government debt(in % of GDP),,"source: https://www.imf.org/en/Publications/WEO/weo-database/2022/October/weo-report?c=193,&s=NGDP_RPCH,NGDPD,PPPGDP,NGDPDPC,PPPPC,PCPIPCH,LUR,GGXWDG_NGDP,&sy=1980&ey=2027&ssm=0&scsm=1&scc=0&ssd=1&ssc=0&sic=0&sort=country&ds=.&br=1"
1980,155.4,10498,162.8,11000.1,0.029,0.101,0.061,n/a,,
1981,177.1,11776.5,188.3,12520,0.041,0.095,0.058,n/a,,
1982,188.2,12307.7,186.9,12226.6,0.001,0.114,0.072,n/a,,
1983,194.6,12569.1,179.4,11584.2,-0.005,0.1,0.1,n/a,,
1984,214.4,13678,197,12566.6,0.063,0.04,0.09,n/a,,
1985,233.3,14671.4,174.3,10960.2,0.055,0.067,0.083,n/a,,
1986,243.8,15106.9,181.4,11237.7,0.024,0.091,0.081,n/a,,
1987,262.1,15984.6,213,12989.9,0.049,0.085,0.081,n/a,,
1988,282.8,16949.7,270.9,16235.1,0.043,0.073,0.072,n/a,,
1989,307.6,18159,308.1,18191.4,0.046,0.076,0.061,0.17,,
1990,323.8,18859.9,323.8,18859.6,0.015,0.072,0.069,0.164,,
1991,331.4,19070.9,324.2,18656.5,-0.01,0.033,0.096,0.216,,
1992,347.7,19802.5,317.9,18106.7,0.026,0.01,0.107,0.276,,
1993,369.9,20877.2,309.2,17447.6,0.039,0.018,0.109,0.307,,
1994,396.1,22138.3,353.2,19736.3,0.048,0.019,0.097,0.317,,
1995,416.4,22980,378.9,20908.4,0.03,0.046,0.085,0.312,,
1996,441.1,24064.7,424.4,23153.8,0.04,0.027,0.085,0.294,,
1997,469.4,25357.9,426.2,23023.6,0.046,0.002,0.084,0.259,,
1998,496.7,26555,381.1,20374.7,0.047,0.009,0.077,0.237,,
1999,525.6,27782.8,411.5,21748,0.043,0.014,0.069,0.226,,
2000,554.2,28953.2,399.7,20879.2,0.031,0.045,0.063,0.195,,
2001,581.8,30010.1,377.5,19473.7,0.027,0.044,0.068,0.171,,
2002,615.5,31393.8,425.1,21683.5,0.042,0.03,0.064,0.15,,
2003,646.6,32610.3,541,27283.3,0.03,0.027,0.059,0.132,,
2004,691.2,34481.1,658.4,32843.4,0.041,0.023,0.054,0.119,,
2005,734.2,36149.2,735.6,36217.5,0.03,0.027,0.05,0.109,,
2006,776.6,37648.5,782.4,37929.8,0.026,0.036,0.048,0.1,,
2007,832.4,39608.7,949,45157.6,0.044,0.024,0.044,0.097,,
2008,870.1,40516.7,1055.9,49169.1,0.026,0.043,0.043,0.117,,
2009,892.4,40814.4,1000,45733.6,0.019,0.018,0.056,0.166,,
2010,925.2,41726.8,1253.6,56538.8,0.024,0.029,0.052,0.204,,
2011,971.1,43117.7,1514.7,67251.8,0.028,0.034,0.051,0.241,,
2012,983.7,42903.1,1569.2,68441.2,0.038,0.017,0.052,0.275,,
2013,1083.9,46522.3,1519,65197.9,0.022,0.025,0.057,0.305,,
2014,1110.8,46987.5,1456.4,61607.9,0.026,0.025,0.061,0.34,,
2015,1111.5,46342.4,1233.1,51412.7,0.023,0.015,0.061,0.378,,
2016,1171.8,48052.9,1263.8,51826.4,0.027,0.013,0.057,0.406,,
2017,1229.6,49656.8,1382,55812,0.024,0.02,0.056,0.412,,
2018,1293.9,51446.4,1416.8,56333.5,0.028,0.019,0.053,0.418,,
2019,1343.2,52617.7,1386.7,54323.1,0.02,0.016,0.052,0.467,,
2020,1330.3,51886.2,1357.6,52952.8,-0.021,0.009,0.065,0.572,,
2021,1453.6,56412.2,1635.3,63464.1,0.049,0.028,0.051,0.584,,
2022,1615.3,62191.6,1724.8,66407.6,0.038,0.065,0.036,0.567,,
2023,1704.5,64847.5,1787.9,68023.2,0.019,0.048,0.037,0.586,,
2024,1771.6,66535.5,1837.7,69018.2,0.018,0.029,0.042,0.605,,
2025,1840.8,68281.3,1913.5,70979.2,0.02,0.028,0.045,0.604,,
2026,1916.2,70235.9,1994.1,73092,0.022,0.025,0.047,0.596,,
2027,1997.8,72358.1,2081.6,75393.9,0.023,0.025,0.048,0.585,,
