Year,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia 
Jun-90,335735,216165,141394,62973,113786,17721,11319,15577,925958
Jun-91,337278,210558,141579,62741,114505,17702,11607,15960,922422
Jun-92,337926,207543,146454,61664,118247,18138,11298,16026,926367
Jun-93,347414,217875,155635,63323,123722,18726,11314,16639,963840
Jun-94,360245,225250,163389,65059,132148,19124,11116,17377,1002198
Jun-95,373474,232307,172822,65967,139504,19616,11655,18027,1041115
Jun-96,387865,240327,178624,68639,147706,20368,12585,18049,1081343
Jun-97,400572,250923,188157,71249,152776,20714,12849,18797,1123658
Jun-98,415409,265717,195747,75166,161351,21489,13720,19548,1176057
Jun-99,435452,282577,207327,76736,166252,21981,15284,20692,1235185
Jun-00,454551,292216,216949,79433,173079,22107,15117,21222,1283623
Jun-01,462443,297726,223422,81859,174727,21921,15727,22320,1309618
Jun-02,471052,309125,237637,85909,186351,23077,17042,23092,1361736
Jun-03,480849,317744,248524,88107,195996,23727,17235,24136,1403823
Jun-04,494126,329621,265133,91029,210295,24945,17367,24855,1463125
Jun-05,500740,343515,279279,92929,218121,25593,18162,25665,1509274
Jun-06,506876,351392,293682,94203,228867,26614,19356,26309,1550859
Jun-07,515768,361288,313527,95914,244161,27324,21750,27893,1609379
Jun-08,526459,374193,328402,100398,256777,28480,21977,29174,1667095
Jun-09,534051,381400,332831,103137,262862,29285,23843,29966,1698646
Jun-10,542558,385336,339914,105358,278607,29543,23732,31273,1736467
Jun-11,553440,396253,342795,107659,291562,30250,24414,32182,1778298
Jun-12,566882,405822,362790,108761,315714,30849,25391,33542,1847979
Jun-13,579398,409802,373159,109578,334784,30685,27120,34647,1896141
Jun-14,593009,418902,380604,110004,354070,31155,27450,34727,1945581
Jun-15,609333,430757,383818,111249,362109,31515,27816,35714,1988419
Jun-16,631961,445714,392991,111865,365881,32085,28367,37400,2043680
Jun-17,648206,462737,403260,114015,362200,32473,28782,38912,2091067
Jun-18,662829,478591,419368,116570,370153,33667,29356,40505,2151841
Jun-19,680189,493087,423285,117925,376299,34897,29020,42197,2198775
Jun-20,673316,491651,418498,116749,380717,34931,30758,43759,2191416
Jun-21,688693,490667,430157,122455,393223,36598,30253,45467,2237695
Jun-22,706732,521709,454026,129272,404762,38171,31792,46757,2333221
Jun-23,733087,535489,464580,134209,418775,38584,30123,48767,2403614
